platform,phase,source,text,likes,comments,shares,views,date,pre_sentiment,age,text_clean,language,fashion_category
Instagram,Phase1,Nepal_Primary,"📸 Yellow

Model: Madhu
@madhu.menu 
———
More photos in Link in bio/Modeling/Madhu
#shooting #photography #photooftheday #model #modelephoto #nepal #portraitphotography #fashionmodel #akorioo #portrait #portraithut #model__in #modeling #nepaligirls #ig_portrait #portraitmood #portraitpage #portrait_planet #modelshoot #portraitmode #modelphotography #portrait_vision #nepalimodel #nepalfashion #canonphotography #endlessfaces #portrait_perfection #fashionphotography #nepalphotoproject #nepalimodel",33,2,0,0,2026-04-22T20:00:00.000Z,,,📸 Yellow Model: Madhu .menu ——— More photos in Link in bio/Modeling/Madhu #shooting #photography #photooftheday #model #modelephoto #nepal #portraitphotography #fashionmodel #akorioo #portrait #portraithut #model__in #modeling #nepaligirls #ig_portrait #portraitmood #portraitpage #portrait_planet #modelshoot #portraitmode #modelphotography #portrait_vision #nepalimodel #nepalfashion #canonphotography #endlessfaces #portrait_perfection #fashionphotography #nepalphotoproject #nepalimodel,English,Western/Casual
Instagram,Phase1,Nepal_Primary,"Portraits ❤️🌸☘️

#instaposts #nepaligirls #nepaliphotographer #nepalimodel #nepal🇳🇵",23,4,0,0,2026-04-22T04:53:31.000Z,,,Portraits ❤️🌸☘️ #instaposts #nepaligirls #nepaliphotographer #nepalimodel #nepal🇳🇵,English,General Fashion
Instagram,Phase1,Nepal_Primary,"Alone and unbothered.

#nepaligirls #single",-1,1,0,0,2026-04-22T04:27:26.000Z,,,Alone and unbothered. #nepaligirls #single,English,General Fashion
Instagram,Phase1,Nepal_Primary,#nepali #nepaligirls  #🧿❤️🙏 #makeover @alijarai_24  #thankyou kanchu 🥰🤗😘,43,8,0,0,2026-04-21T15:11:30.000Z,,,#nepali #nepaligirls #🧿❤️🙏 #makeover #thankyou kanchu 🥰🤗😘,English,General Fashion
Instagram,Phase1,Nepal_Primary,selfie #nepal #girl #village #girls #beautiful #girlswithbullies #nepali #woman #girlwhotravel #girly #nepaligirls #confidentwoman #Vibes #NepaliVibes #nepalireels #nepaligirl #Style,0,0,0,0,2026-04-21T07:20:23.000Z,,,selfie #nepal #girl #village #girls #beautiful #girlswithbullies #nepali #woman #girlwhotravel #girly #nepaligirls #confidentwoman #Vibes #NepaliVibes #nepalireels #nepaligirl #Style,English,General Fashion
Instagram,Phase1,Nepal_Primary,"जिद्दी थिएँ, जिद्दी छु र जिद्दी नै रहन्छु।
ओइलाएको फूल बन्नुभन्दा बरु म काँडा बन्न रुचाउँछु। 
विद्रोही जन्मिए,विद्रोह गर्दै  बाँचिरहेकी छु र विद्रोह गर्दै नै मर्नेछु।
यही जिद्दीपनका कारणले जीवनमा यहाँसम्म आइपुगेँ, यो खोक्रो समाजको बसमा हुने भए म अहिले यही समाजले बनाएका चार भित्ताभित्र आत्मा गुम्स्याएर बसिरहेकी हुने थिएँ।तिमीहरूले बनाएको पितृसत्तात्मक जेलबाट मुक्त हुन र अब मेरो परिवारमा जन्मिने कुनै छोरीले पनि त्यही पीडा भोग्न नपरोस् भन्ने उद्देश्यले म विदेशिनु परेको थियो,यो कुरा म कहिल्यै बिर्सिने छैन।

#nepaligirl #nepaligirls #nepali #nepalnow #nepalimodel",32,2,0,0,2026-04-21T06:42:11.000Z,,,"जिद्दी थिएँ, जिद्दी छु र जिद्दी नै रहन्छु। ओइलाएको फूल बन्नुभन्दा बरु म काँडा बन्न रुचाउँछु। विद्रोही जन्मिए,विद्रोह गर्दै बाँचिरहेकी छु र विद्रोह गर्दै नै मर्नेछु। यही जिद्दीपनका कारणले जीवनमा यहाँसम्म आइपुगेँ, यो खोक्रो समाजको बसमा हुने भए म अहिले यही समाजले बनाएका चार भित्ताभित्र आत्मा गुम्स्याएर बसिरहेकी हुने थिएँ।तिमीहरूले बनाएको पितृसत्तात्मक जेलबाट मुक्त हुन र अब मेरो परिवारमा जन्मिने कुनै छोरीले पनि त्यही पीडा भोग्न नपरोस् भन्ने उद्देश्यले म विदेशिनु परेको थियो,यो कुरा म कहिल्यै बिर्सिने छैन। #nepaligirl #nepaligirls #nepali #nepalnow #nepalimodel",Nepali,General Fashion
Instagram,Phase1,Nepal_Primary,"it smells like a healed pretty women❤️💋 
#life #beauty #moment #insta #nepaligirls",-1,2,0,0,2026-04-20T17:05:30.000Z,,,it smells like a healed pretty women❤️💋 #life #beauty #moment #insta #nepaligirls,English,General Fashion
Instagram,Phase1,Nepal_Primary,"The Nepali New Year just ended a few days ago. I congratulate everyone who is involved (and not only them)...
नयाँ वर्षको शुभकामना
नयाँ वर्षले सबैमा सुख, शान्ति र सफलता ल्याओस्

#retro #retrostyle #vintageaesthetics #dandygirls #girlswearingties #womenwearingties #ladieswithties #tiesareforwomen #dandywomen #dandygirls #ragazzaincravatta #happyholidays #nepalinewyear #nepaligirl #nepaligirls #april #aprilvibes #eternalclassic #timelessbeauty #romantic #postcard #aiart",25,4,0,0,2026-04-20T01:29:46.000Z,,,"The Nepali New Year just ended a few days ago. I congratulate everyone who is involved (and not only them)... नयाँ वर्षको शुभकामना नयाँ वर्षले सबैमा सुख, शान्ति र सफलता ल्याओस् #retro #retrostyle #vintageaesthetics #dandygirls #girlswearingties #womenwearingties #ladieswithties #tiesareforwomen #dandywomen #dandygirls #ragazzaincravatta #happyholidays #nepalinewyear #nepaligirl #nepaligirls #april #aprilvibes #eternalclassic #timelessbeauty #romantic #postcard #aiart",Nepali,General Fashion
Instagram,Phase1,Nepal_Primary,"Fresh drop is live 🚀

Minimal tees for maximum style.
Comfort you can wear every day.

Sizes available: M, L, XL
Limited launch offer: 50% OFF 🔥

Get yours now.

#Zera #NewArrival #LaunchOffer #TshirtStyle #NepaliFashion PremiumWear ShopNow StyleDaily",0,0,0,0,2026-04-23T14:39:20.000Z,,,"Fresh drop is live 🚀 Minimal tees for maximum style. Comfort you can wear every day. Sizes available: M, L, XL Limited launch offer: 50% OFF 🔥 Get yours now. #Zera #NewArrival #LaunchOffer #TshirtStyle #NepaliFashion PremiumWear ShopNow StyleDaily",English,Western/Casual
Instagram,Phase1,Nepal_Primary,"From the delicate blue florals to the adjustable drawstring waist with tassel accents, our latest kaftan set. 

To order dm or whatsapp on 9841737710/ 9828288484

#kaftanlove #summerstyle #nepalifashion #comfystylish",4,0,0,0,2026-04-23T13:49:37.000Z,,,"From the delicate blue florals to the adjustable drawstring waist with tassel accents, our latest kaftan set. To order dm or whatsapp on 9841737710/ 9828288484 #kaftanlove #summerstyle #nepalifashion #comfystylish",English,General Fashion
Instagram,Phase1,Nepal_Primary,"Refined, effortless, and made to move with you — this belted co-Ord set blends sharp tailoring with all-day comfort for women who take charge and own every moment.

Available Colors: Khakee/Ivory Cream/Soft Biege

#CoOrdSet #PowerDressing #WomenWhoLead #EffortlessStyle #ModernMinimalism #NepaliFashion #DEVIOR",8,0,0,0,2026-04-23T07:45:09.000Z,,,"Refined, effortless, and made to move with you — this belted co-Ord set blends sharp tailoring with all-day comfort for women who take charge and own every moment. Available Colors: Khakee/Ivory Cream/Soft Biege #CoOrdSet #PowerDressing #WomenWhoLead #EffortlessStyle #ModernMinimalism #NepaliFashion #DEVIOR",English,Indo-Western/Fusion
Instagram,Phase1,Nepal_Primary,"Premium Lucknavi chikankari in delicate paisley motifs on finest Banarasi mul chanderi, in an elegant cool beige. Straight silhouette with straight pants, paired with a fully hand-embroidered kurta & dupatta; airy, refined, and effortlessly timeless.
Sizes M available. DM for orders 🤍

#nepalitiktok #kathmandunepal🇳🇵 #nepaliethnicwear #onceuponअthread #nepalifashion",3,0,0,0,2026-04-23T07:01:41.000Z,,,"Premium Lucknavi chikankari in delicate paisley motifs on finest Banarasi mul chanderi, in an elegant cool beige. Straight silhouette with straight pants, paired with a fully hand-embroidered kurta & dupatta; airy, refined, and effortlessly timeless. Sizes M available. DM for orders 🤍 #nepalitiktok #kathmandunepal🇳🇵 #nepaliethnicwear #onceuponअthread #nepalifashion",Nepali,Traditional/Ethnic
Instagram,Phase1,Nepal_Primary,"✨ Embracing tradition with timeless elegance ✨
This beautiful Rai Lehenga Set reflects the rich cultural heritage of the Rai community of Nepal 🇳🇵. The look features a stylish maroon cholo (blouse), a flowy patterned lehenga, and a graceful dupatta with detailed golden borders — blending tradition with modern elegance.

Perfect for cultural events, weddings, and festive occasions, this outfit celebrates identity, grace, and beauty in every detail ❤️

💌 Loved this look? DM to order yours now!

#RaiDress #RaiLehenga #NepaliTraditionalWear #EthnicElegance #NepaliFashion #CulturalStyle #DesiOutfits #FestiveWear #HandcraftedStyle #InstaFashion",1,0,0,0,2026-04-23T05:39:00.000Z,,,"✨ Embracing tradition with timeless elegance ✨ This beautiful Rai Lehenga Set reflects the rich cultural heritage of the Rai community of Nepal 🇳🇵. The look features a stylish maroon cholo (blouse), a flowy patterned lehenga, and a graceful dupatta with detailed golden borders — blending tradition with modern elegance. Perfect for cultural events, weddings, and festive occasions, this outfit celebrates identity, grace, and beauty in every detail ❤️ 💌 Loved this look? DM to order yours now! #RaiDress #RaiLehenga #NepaliTraditionalWear #EthnicElegance #NepaliFashion #CulturalStyle #DesiOutfits #FestiveWear #HandcraftedStyle #InstaFashion",English,Traditional/Ethnic
Instagram,Phase1,Nepal_Primary,"🌸 Linen dress are our recent favorite 🌸
Summer colors are added in our linen dress this time …..
Free size 

#KitsolSummer #kitsolclothingstore #nepalistore #nepalifashion 

Plzz Dm us in whatsapp/ viber or instagram
📍Store - Sankhamul road ,New Baneshwor
near Global Ime Bank,
opposite of Aryal International hotel
Delivery service available all over Nepal",-1,0,0,0,2026-04-22T13:23:32.000Z,,,"🌸 Linen dress are our recent favorite 🌸 Summer colors are added in our linen dress this time ….. Free size #KitsolSummer #kitsolclothingstore #nepalistore #nepalifashion Plzz Dm us in whatsapp/ viber or instagram 📍Store - Sankhamul road ,New Baneshwor near Global Ime Bank, opposite of Aryal International hotel Delivery service available all over Nepal",English,Formal/Professional
Instagram,Phase1,Nepal_Primary,"“Golden hour, golden soul”
Feat @purnika_sijapati 
Mua team @_nehashrestha @cosmobeauty_makeupstudio 
Location partner @sundown_ktm 
Visual team via @collab_nepal 
@_skdgin_ @uddibaba 
#lehenga #ethinicwear #fashionstyle #nepalifashion",9,0,0,0,2026-04-22T13:08:10.000Z,,,"“Golden hour, golden soul” Feat Mua team Location partner Visual team via #lehenga #ethinicwear #fashionstyle #nepalifashion",English,Traditional/Ethnic
Instagram,Phase1,Nepal_Primary,"Shapes waist, tummy and hips while staying breathable. #kiloshapewear #bodysuit #bodyshaper #lifestyle #nepaliwomen",3,0,0,0,2026-04-27T10:15:00.000Z,,,"Shapes waist, tummy and hips while staying breathable. #kiloshapewear #bodysuit #bodyshaper #lifestyle #nepaliwomen",English,Formal/Professional
Instagram,Phase1,Nepal_Primary,Introducing KILO Clothing - where comfort meets confidence. Designed to shape. Support and move with you everyday. #kiloshapewear #kiloclothing #bodysuit #lifestyle #nepaliwomen,0,0,0,0,2026-04-27T08:05:11.000Z,,,Introducing KILO Clothing - where comfort meets confidence. Designed to shape. Support and move with you everyday. #kiloshapewear #kiloclothing #bodysuit #lifestyle #nepaliwomen,English,Formal/Professional
Instagram,Phase1,Nepal_Primary,"Meet the new Light Shaper Bodysuit Tee.
Made with 76% nylon and 24% spandex, it smooths and shapes your silhouette while staying soft, breathable, and effortless all day. #kiloklothing #bodysuit #lifestyle #tee #nepaliwomen",5,0,0,0,2026-04-23T05:41:56.000Z,,,"Meet the new Light Shaper Bodysuit Tee. Made with 76% nylon and 24% spandex, it smooths and shapes your silhouette while staying soft, breathable, and effortless all day. #kiloklothing #bodysuit #lifestyle #tee #nepaliwomen",English,Formal/Professional
Instagram,Phase1,Nepal_Primary,"With a perfect fit that hugs all the right places, our shapers are pure vibe. #kiloshapewear #lifestyle #bodysuit #bodyshaper #nepaliwomen",8,0,0,0,2026-04-22T10:15:00.000Z,,,"With a perfect fit that hugs all the right places, our shapers are pure vibe. #kiloshapewear #lifestyle #bodysuit #bodyshaper #nepaliwomen",English,Formal/Professional
Instagram,Phase1,Nepal_Primary,"सानो समस्या होला…” भनेर ignore त गरिरहनुभएको छैन?

महिनावारी गडबडी, पेट दुखाइ, कमजोरी वा असहजता—यी सबैलाई हल्का नलिनुहोस्।
कहिलेकाहीँ यी Ovarian Cyst जस्ता स्वास्थ्य समस्याको संकेत हुन सक्छ।

❤️ आफ्नो health लाई priority दिनुहोस्, ढिलो नगरी specialist सँग परामर्श लिनुहोस्।

👉 यो जानकारी useful लाग्यो भने share गरेर अरूलाई पनि सचेत बनाउनुहोस्।

📞 9801730697 | 061-450009
📍 Mahendrapool, Pokhara

#WomensHealth #NepalHealth #OvarianCystAwareness #HealthAwarenessNepal #PokharaNepal #SantanIVF #ReproductiveHealth #NepaliWomen #HealthTipsNepal #GynecologyNepal #FertilityCare #IVFNepal #HealthyLifestyleNepal #PeriodHealth #LowerAbdomenPain #WomensWellness #MedicalAwareness #ShareToCare #NepalDoctors #HealthcareNepal #AwarenessCampaign #SelfCareNepal #HealthyWomenHealthyNation",0,0,0,0,2026-04-19T08:04:22.000Z,,,"सानो समस्या होला…” भनेर ignore त गरिरहनुभएको छैन? महिनावारी गडबडी, पेट दुखाइ, कमजोरी वा असहजता—यी सबैलाई हल्का नलिनुहोस्। कहिलेकाहीँ यी Ovarian Cyst जस्ता स्वास्थ्य समस्याको संकेत हुन सक्छ। ❤️ आफ्नो health लाई priority दिनुहोस्, ढिलो नगरी specialist सँग परामर्श लिनुहोस्। 👉 यो जानकारी useful लाग्यो भने share गरेर अरूलाई पनि सचेत बनाउनुहोस्। 📞 9801730697 | 061-450009 📍 Mahendrapool, Pokhara #WomensHealth #NepalHealth #OvarianCystAwareness #HealthAwarenessNepal #PokharaNepal #SantanIVF #ReproductiveHealth #NepaliWomen #HealthTipsNepal #GynecologyNepal #FertilityCare #IVFNepal #HealthyLifestyleNepal #PeriodHealth #LowerAbdomenPain #WomensWellness #MedicalAwareness #ShareToCare #NepalDoctors #HealthcareNepal #AwarenessCampaign #SelfCareNepal #HealthyWomenHealthyNation",Nepali,General Fashion
Instagram,Phase1,Nepal_Primary,"Nepali women are not just beautiful and cute  we are strong, graceful, and full of heritage 🇳🇵✨
Today’s photoshoot in a stunning Rai dress, carrying tradition with elegance and confidence. ❤️
#NepaliWomen #RaiCulture #EthnicElegance #ProudNepali #culturalbeauty",32,5,0,0,2026-04-19T07:04:12.000Z,,,"Nepali women are not just beautiful and cute we are strong, graceful, and full of heritage 🇳🇵✨ Today’s photoshoot in a stunning Rai dress, carrying tradition with elegance and confidence. ❤️ #NepaliWomen #RaiCulture #EthnicElegance #ProudNepali #culturalbeauty",English,Traditional/Ethnic
Instagram,Phase1,Nepal_Primary,"Hamro Fashion Trading known as Nepali Shop Qatar – Where Style Meets Comfort.
We offer trendy and high-quality ladies wear imported from India, Nepal and Pakistan. Shop online or visit us in-store for the best collections at affordable prices.

Location located in Muntazah. Near Muntazah park.
Contact: 50258591, 33045481

Search on google: Hamro fashion-nepali shop qatar
Follow us on

Tiktok: https://www.tiktok.com/@nepali_shop_qatar?_r=1&_t=ZS-921zq1mDaR0

Facebook: https://www.facebook.com/share/1FymvqobVd/

Whatsapp: https://wa.me/97450258591

#IndianFashionQatar
#DesiStyleQatar
#IndianEthnicWearQatar
#IndianLadiesShopping
#IndianOutfitsQatar
#DesiVibesQatar
#BollywoodInspiredLook
#NepaliFashionQatar
#NepaliWomenInQatar
#NepaliStyleWear
#NepaliGirlsFashion
#NepaliOutfitsQatar
#NepaliDressCollection
#PakistaniFashionQatar
#PakistaniEthnicWear
#PakistaniStyleQatar
#PakistaniLadiesFashion
#PakistaniDressQatar
#PakistaniOutfitsStyle
#TrendingOutfits
#DailyStyleInspo
#OOTDForHer
#FashionLovers
#ClassyAndStylish
#EthnicElegance
#AffordableTrendyWear
#ShopWithConfidence
#GlamLookOnBudget",1,0,0,0,2025-12-07T19:55:50.000Z,,,"Hamro Fashion Trading known as Nepali Shop Qatar – Where Style Meets Comfort. We offer trendy and high-quality ladies wear imported from India, Nepal and Pakistan. Shop online or visit us in-store for the best collections at affordable prices. Location located in Muntazah. Near Muntazah park. Contact: 50258591, 33045481 Search on google: Hamro fashion-nepali shop qatar Follow us on Tiktok: Facebook: Whatsapp: #IndianFashionQatar #DesiStyleQatar #IndianEthnicWearQatar #IndianLadiesShopping #IndianOutfitsQatar #DesiVibesQatar #BollywoodInspiredLook #NepaliFashionQatar #NepaliWomenInQatar #NepaliStyleWear #NepaliGirlsFashion #NepaliOutfitsQatar #NepaliDressCollection #PakistaniFashionQatar #PakistaniEthnicWear #PakistaniStyleQatar #PakistaniLadiesFashion #PakistaniDressQatar #PakistaniOutfitsStyle #TrendingOutfits #DailyStyleInspo #OOTDForHer #FashionLovers #ClassyAndStylish #EthnicElegance #AffordableTrendyWear #ShopWithConfidence #GlamLookOnBudget",English,Traditional/Ethnic
Instagram,Phase1,Nepal_Primary,"DAZY 2pcs Women Solid Color Long Sleeve Knitted Cardigan And Sleeveless Turtleneck Sweater Set, Autumn/Winter

#sheinpreordernepal #sheinfindsnepal #nepalifashion #nepalionlinestore #nepalesebusiness #fashionnepal #onlinestorenepal #styleinnepal #nepaligirlsfashion #nepaliootd #trendinginnepal #lavishclick #nepaleseshop #preordernepal #newarrivalsnepal",58,0,0,0,2025-12-03T04:01:54.000Z,,,"DAZY 2pcs Women Solid Color Long Sleeve Knitted Cardigan And Sleeveless Turtleneck Sweater Set, Autumn/Winter #sheinpreordernepal #sheinfindsnepal #nepalifashion #nepalionlinestore #nepalesebusiness #fashionnepal #onlinestorenepal #styleinnepal #nepaligirlsfashion #nepaliootd #trendinginnepal #lavishclick #nepaleseshop #preordernepal #newarrivalsnepal",English,Western/Casual
Instagram,Phase1,Nepal_Primary,"Women’s Faux Fur Jacket, High-End Metallic Leather Patchwork Casual Street Style Coat, Autumn/Winter

✔️ pre-order (20-25days) at 
✔️ 100% authentic and hassle free online shopping platform 
✔️ Delivery all over Nepal 🇳🇵
#sheinpreordernepal #sheinfindsnepal #nepalifashion #nepalionlinestore #nepalesebusiness #fashionnepal #onlinestorenepal #styleinnepal #nepaligirlsfashion #nepaliootd #trendinginnepal #lavishclick #nepaleseshop #preordernepal #newarrivalsnepal",36,2,0,0,2025-12-02T03:52:20.000Z,,,"Women’s Faux Fur Jacket, High-End Metallic Leather Patchwork Casual Street Style Coat, Autumn/Winter ✔️ pre-order (20-25days) at ✔️ 100% authentic and hassle free online shopping platform ✔️ Delivery all over Nepal 🇳🇵 #sheinpreordernepal #sheinfindsnepal #nepalifashion #nepalionlinestore #nepalesebusiness #fashionnepal #onlinestorenepal #styleinnepal #nepaligirlsfashion #nepaliootd #trendinginnepal #lavishclick #nepaleseshop #preordernepal #newarrivalsnepal",English,Western/Casual
