"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","hashtags/25","hashtags/26"
"Short Angrakha Kurti designed by me 
This is a Cotton Fabric, we also call it Dhaka ko Kapda, usually made into blouses known as Chaubandi Cholo in our Nepali Community.. 

#kathmandu #nepali #nepalipahiran #nepaligirl #selfdesigned #fashion #ootd #grwm","Sudita Lohorung Rai","sudita__rai","https://www.instagram.com/p/Cvg9RokNS0i/","12","","-1","2023-08-04T07:56:43.000Z",,"kathmandu","nepali","nepalipahiran","nepaligirl","selfdesigned","fashion","ootd","grwm",,,,,,,,,,,,,,,,,,,
"ल भन्नुस त सेतो साडीमा म कस्ती देखिएकी छु? 😃❤️#SunitaDulal #Sadilover #nepalipahiran","Sunita Dulal Official","sunitadulal","https://www.instagram.com/p/DJ4UpNZyvel/","26","","351","2025-05-20T15:15:39.000Z",,"SunitaDulal","Sadilover","nepalipahiran",,,,,,,,,,,,,,,,,,,,,,,,
"Beautiful daura suruwal set for your baby boy available now at syanukonana.
Dm for more informations ❤️ 🙏 

#nepalipahiran #supportsmallbusiness #lisbon #nepali","Syanu ko Nana","syanukonana","https://www.instagram.com/p/DRSbQ6ViGgg/","0","","6","2025-11-20T18:14:13.000Z",,"nepalipahiran","supportsmallbusiness","lisbon","nepali",,,,,,,,,,,,,,,,,,,,,,,
"Purple dhaka jama available at syanukonana ❤️
#supportsmallbusiness #nepali #lisbon #nepalipahiran","Syanu ko Nana","syanukonana","https://www.instagram.com/p/DOuJwE-CJox/","0","","6","2025-09-17T23:04:40.000Z",,"supportsmallbusiness","nepali","lisbon","nepalipahiran",,,,,,,,,,,,,,,,,,,,,,,
"Your baby girl’s very first Gurung dress ❤️🤭#supportsmallbusiness #nepali #lisbon #nepalipahiran","Syanu ko Nana","syanukonana","https://www.instagram.com/p/DRxBQGCiD7J/","0","","9","2025-12-02T15:22:43.000Z",,"supportsmallbusiness","nepali","lisbon","nepalipahiran",,,,,,,,,,,,,,,,,,,,,,,
"Exclusive Nepali Style Blazer and Daura Suruwal 🔥
Remember us for all kinds of 
Formal Attire 
#menscoat #nepalidaurasuruwal #nepalipahiran #trendingreels #purbelidhaka","Purbeli Dhaka Daura Suruwal & Shirting Suiting","purbelidhakafabrics","https://www.instagram.com/p/C5mpv6WyD0r/","25","","431","2024-04-11T02:16:45.000Z",,"menscoat","nepalidaurasuruwal","nepalipahiran","trendingreels","purbelidhaka",,,,,,,,,,,,,,,,,,,,,,
"Devi vannu 😂. ##nepalipahiran","Binita Karki","bini_karki33","https://www.instagram.com/p/C1a4EyiIoBu/","5","","53","2023-12-29T02:19:41.000Z",,"#nepalipahiran",,,,,,,,,,,,,,,,,,,,,,,,,,
"#dhakasari #nepalipahiran #avilable_now🛍️ #followforfollowback #foryoupage #goviral #supportsmallbusiness","Nepali Pahiran🇨🇦","nepali_pahiran_aneema","https://www.instagram.com/p/CsXNU-6Ov_l/","2","","2","2023-05-17T23:27:55.000Z",,"dhakasari","nepalipahiran","avilable_now🛍️","followforfollowback","foryoupage","goviral","supportsmallbusiness",,,,,,,,,,,,,,,,,,,,
"#dashainlooks","","kashviniraula","https://www.instagram.com/p/Cy4IrgXv93Q/","0","","2","2023-10-26T21:28:49.000Z",,"dashainlooks",,,,,,,,,,,,,,,,,,,,,,,,,,
"Celebrate Dashain in style!!
Enjoy Flat 15% OFF on everything at Vantuff, your festival fits, sorted.

#VantuffDashainSale
#Flat15Off
#CelebrateInStyle
#VantuffEssentials
#MenswearNepal
#DashainLooks
#SmartCasualDoneRight
#EverydayElevated
#NepaliMenswear
#VantuffStyle
#ShopVantuff","VANTUFF","vantuff.apparels","https://www.instagram.com/p/DO_Y-6BE0et/","0","","142","2025-09-24T16:19:51.000Z",,"VantuffDashainSale","Flat15Off","CelebrateInStyle","VantuffEssentials","MenswearNepal","DashainLooks","SmartCasualDoneRight","EverydayElevated","NepaliMenswear","VantuffStyle","ShopVantuff",,,,,,,,,,,,,,,,
"✨ Premium AD Gold-Base Necklace Set ✨
Crafted with elegance, this lightweight beauty is adjustable, flexible, and comes with colour guarantee. Perfect for those who love simple yet classy jewellery without the heaviness. 🌸

📍 Makhan(Opposite to Suraj Arcade), Newroad 
DM us to book yours now 💌

#NewShringarCollection #ADNecklace #PremiumJewellery #DashainLooks #ColourGuarantee #premiumqualityjewellerysets #fyp","NewShringarCollection","new.shringarcollection","https://www.instagram.com/p/DOx2t3bgcvP/","0","","2","2025-09-19T09:36:16.000Z",,"NewShringarCollection","ADNecklace","PremiumJewellery","DashainLooks","ColourGuarantee","premiumqualityjewellerysets","fyp",,,,,,,,,,,,,,,,,,,,
"Celebrate Dashain in Style with Pajama Sets! ✨
जहाँ संस्कृति र ट्रेन्ड हातेमालो गर्छन्।

For Order 📞 9848048372

#FestiveStyle #PajamaSetVibes #DashainLooks #TraditionMeetsTrend","Raju Collection Surkhet","rajucollectionsurkhet","https://www.instagram.com/p/DPBq_3vEgQg/","0","","2","2025-09-25T13:00:45.000Z",,"FestiveStyle","PajamaSetVibes","DashainLooks","TraditionMeetsTrend",,,,,,,,,,,,,,,,,,,,,,,
"My dear son, though distance keeps us apart this Dashain, my heart is with you always. I may not be able to bless you in person this year, but I send you all my love, prayers, and wishes for happiness, health, and success. May Goddess Durga bless you with strength to overcome all challenges and fill your life with joy and prosperity. Remember, you are always in my thoughts, especially during this sacred time. Happy Dashain, my son!
To my beloved parents, I humbly seek your blessings this Dashain, even though I cannot be with you to celebrate together. Please forgive my absence and keep me in your prayers. Your blessings mean the world to me and give me strength wherever I am. May this festival bring peace, good health, and happiness to you both. I promise to reunite soon. Happy Dashain to you, with all my love and respect. 

appydashain 
#Dashain2025 
#BijayaDashami 
#DashainTika 
#DashainVibes 
#DashainCelebration 
#NepalFestival 
#DashainOutfit 
#DashainFestival 
#Fulpati 
#Tika 
#DashainParty 
#DashainLooks 
#DashainShopping","Dilip Bista","chetridilip","https://www.instagram.com/p/DPT1qm2k3yx/","0","","11","2025-10-02T14:28:01.000Z",,"Dashain2025","BijayaDashami","DashainTika","DashainVibes","DashainCelebration","NepalFestival","DashainOutfit","DashainFestival","Fulpati","Tika","DashainParty","DashainLooks","DashainShopping",,,,,,,,,,,,,,
"#dashainlooks #sareelove 💜🦋🤩","Sneha Chhetri","sneha_chhetriiii","https://www.instagram.com/p/DPTfuIKgP55/","2","","21","2025-10-02T11:09:41.000Z",,"dashainlooks","sareelove",,,,,,,,,,,,,,,,,,,,,,,,,
"🌺❤️#ootd #dashainlooks","Suku🕊️","sweekrity_","https://www.instagram.com/p/DPWHLNaD85k/","8","","45","2025-10-03T11:32:21.000Z",,"ootd","dashainlooks",,,,,,,,,,,,,,,,,,,,,,,,,
"✨ “Festive glow in full swing 🤍✨ Our ivory-gold embroidered kurti paired with matching trousers & a handcrafted potli bag — the perfect blend of tradition and luxe detailing. A timeless look for Dashain & beyond 🌸
#FestiveElegance #PotliBag #DashainLooks #kurtiset ✨","NAYAAB","nayaab.np","https://www.instagram.com/p/DOsQYCsE1m1/","3","","74","2025-09-17T05:25:59.000Z",,"FestiveElegance","PotliBag","DashainLooks","kurtiset",,,,,,,,,,,,,,,,,,,,,,,
"“Dashain vibes with the glow of Aloe Herbal ✨ Stay radiant this festive season 🌸 #DashainLooks #AloeHerbal #FestiveGlow #SkinCareWithAloe #RadiantWithAloe”","Aloe Herbal 🌿","aloeherbalofficial","https://www.instagram.com/p/DO-RyvNDJfK/","3","","91","2025-09-24T05:23:22.000Z",,"DashainLooks","AloeHerbal","FestiveGlow","SkinCareWithAloe","RadiantWithAloe”",,,,,,,,,,,,,,,,,,,,,,
"Because Dashain makes me happier😍😍

 #dashainlooks #traditional #reels #potraitreels #reelslovers #viral #dashain #dashaintihar #kurtha","Imita Subedi","imita.subedi__","https://www.instagram.com/p/Cz3dNAYsiPB/","1","","57","2023-11-20T11:41:13.000Z",,"dashainlooks","traditional","reels","potraitreels","reelslovers","viral","dashain","dashaintihar","kurtha",,,,,,,,,,,,,,,,,,
"💎 Stylish AD Bangles 💎
Available in various colours and designs, with sizes to fit everyone. Comes with colour guarantee so you can shine for years. ✨ Pair them beautifully with different chura for your festive and wedding looks. 🌸

#NewShringarCollection #ADbangles #DashainLooks #PremiumJewellery #ColourGuarantee #FestiveStyle #WeddingEssentials #NepalJewellery #onlineshopping #fyp #newarrival #jewelleryoftheday","NewShringarCollection","new.shringarcollection","https://www.instagram.com/p/DO5mybkAbGf/","0","","2","2025-09-22T09:50:18.000Z",,"NewShringarCollection","ADbangles","DashainLooks","PremiumJewellery","ColourGuarantee","FestiveStyle","WeddingEssentials","NepalJewellery","onlineshopping","fyp","newarrival","jewelleryoftheday",,,,,,,,,,,,,,,
"Get festive with Oodni

#oodni #oodniboutique #oodnibykhushbudongol💖 #dashain #dashainlooks #kurthi #fashion #traditionalfusion #oodniNepal #instareels #instagood #instadaily #instapost #Nepal","O O D N I BY KHUSHBOO DANGOL","oodnikhushboodangol","https://www.instagram.com/p/CxsB8lTuIW2/","0","","20","2023-09-27T08:11:58.000Z",,"oodni","oodniboutique","oodnibykhushbudongol💖","dashain","dashainlooks","kurthi","fashion","traditionalfusion","oodniNepal","instareels","instagood","instadaily","instapost","Nepal",,,,,,,,,,,,,
"“This Dashain, let your outfit shine as bright as your celebrations! 🎉❤️ #DashainLooks #EthnicGlam” #snehascollection #bridal2024 #instadaily #reelsinstagram #snehasdesign #instagood #instareels","sneha's collection","snehas.collection","https://www.instagram.com/p/C_9zbxBSLLy/","1","","57","2024-09-16T05:06:46.000Z",,"DashainLooks","EthnicGlam”","snehascollection","bridal2024","instadaily","reelsinstagram","snehasdesign","instagood","instareels",,,,,,,,,,,,,,,,,,
"✨ “Dashain just got trendier! 🎉👗 New arrivals that blend tradition with chic — because this festive season, you deserve to shine the brightest. 💫 Shop the look everyone’s talking about! 💃 #DashainFit”

#Dashain2025 #NepalFashion #KathmanduTrends #ShopNepal #DashainOutfits #NepaliGirlsStyle #NepaliFashionista #OnlineShoppingNepal #TrendyNepal #KathmanduFashion #ShopaholicNepal #DashainLooks #NepalStyleDiaries #NepaliBrandLove #KathmanduGirls","Trending outfits by Essence","essence_luxurytrend","https://www.instagram.com/p/DOkhvWcAck-/","0","","55","2025-09-14T05:23:00.000Z",,"DashainFit”","Dashain2025","NepalFashion","KathmanduTrends","ShopNepal","DashainOutfits","NepaliGirlsStyle","NepaliFashionista","OnlineShoppingNepal","TrendyNepal","KathmanduFashion","ShopaholicNepal","DashainLooks","NepalStyleDiaries","NepaliBrandLove","KathmanduGirls",,,,,,,,,,,
"Your festive look deserves better than basic lashes.
Upgrade to Mimisara Glam – your new go-to for stunning eyes in MINUTES! 💁‍♀️
🎉 15% OFF our bestselling Eyelash Extension Kit – for a limited time only!

✅ Fuss-free at-home application
✅ Waterproof, cruelty-free, and festival-proof
✅ Loved by lash lovers all over Nepal 🇳🇵

💥 It’s now or never — stock is flying out!
Tap to glam up ➡️

#LashUpgrade #NepaliBeautyBrand #FestiveGlow
#GlamWithoutTheSalon #DashainLooks #TiharReady
#CrueltyFreeBeauty #BeautyOnABudget #AtHomeGlam
#MakeupNepal #MimiSaraGlow #FestivalGlamNepal
#NepaliMakeupCommunity #NaturalLashes #DashainVibes
#TiharSpecial #GlamSeason #SelfCareSeason
#BudgetBeauty #LashGoals #GlamUpNepal
#LashKitNepal #NepaliGirlsGlam #DashainDiscounts
#LashesOnPoint #ViralBeautyNepal #GlowUpNepal","Mimisara 🦄","mimisaranepal","https://www.instagram.com/p/DOxmweDiG-r/","2","","99","2025-09-19T07:15:00.000Z",,"LashUpgrade","NepaliBeautyBrand","FestiveGlow","GlamWithoutTheSalon","DashainLooks","TiharReady","CrueltyFreeBeauty","BeautyOnABudget","AtHomeGlam","MakeupNepal","MimiSaraGlow","FestivalGlamNepal","NepaliMakeupCommunity","NaturalLashes","DashainVibes","TiharSpecial","GlamSeason","SelfCareSeason","BudgetBeauty","LashGoals","GlamUpNepal","LashKitNepal","NepaliGirlsGlam","DashainDiscounts","LashesOnPoint","ViralBeautyNepal","GlowUpNepal"
"Sold out ❌❌New in 😍 Shop now and make your Dashain more special ✨ @aafreenattire_np #newin #dashainlooks","Aafreen Attire","aafreenattire_np","https://www.instagram.com/p/DOs6zRtEn0p/","0","","17","2025-09-17T11:35:43.000Z",,"newin","dashainlooks",,,,,,,,,,,,,,,,,,,,,,,,,
"👗 New arrivals thats chic — because this kathmandu streets deserves it, you deserve to shine the brightest. 💫 Shop the Dress 💃 #shopping 

#Dashain2025 #NepalFashion #KathmanduTrends #ShopNepal #DashainOutfits #NepaliGirlsStyle #NepaliFashionista #OnlineShoppingNepal #TrendyNepal #KathmanduFashion #ShopaholicNepal #DashainLooks #NepalStyleDiaries #NepaliBrandLove #KathmanduGirls","Trending outfits by Essence","essence_luxurytrend","https://www.instagram.com/p/DOs6KmNgc2A/","0","","6","2025-09-17T11:30:29.000Z",,"shopping","Dashain2025","NepalFashion","KathmanduTrends","ShopNepal","DashainOutfits","NepaliGirlsStyle","NepaliFashionista","OnlineShoppingNepal","TrendyNepal","KathmanduFashion","ShopaholicNepal","DashainLooks","NepalStyleDiaries","NepaliBrandLove","KathmanduGirls",,,,,,,,,,,
"American diamond ring in silver925 with platinum/rhodium plated✨For daily use.
Order Now!!!
.
.
.
#dhungrinepal #dhungri #royalwomen #fordailyuse #dailyusering #silver925 #platinum #rhodium #shine #love #antique #adring #shippingworldwide #royalgirls #beroyal #dashain #festivalvibes #dashainlooks","Dhungri Nepal","dhungri_nepal","https://www.instagram.com/p/CiodnNigarf/","1","","22","2022-09-18T03:03:36.000Z",,"dhungrinepal","dhungri","royalwomen","fordailyuse","dailyusering","silver925","platinum","rhodium","shine","love","antique","adring","shippingworldwide","royalgirls","beroyal","dashain","festivalvibes","dashainlooks",,,,,,,,,
"#bestfriends #dashainlooks","Ranjeeta Gautam","ranjee_gautam","https://www.instagram.com/p/DBXJKIOptHz/","2","","19","2024-10-20T21:48:43.000Z",,"bestfriends","dashainlooks",,,,,,,,,,,,,,,,,,,,,,,,,
"High quality American diamond earpiece ✨Order Now!!!
.
.
.
#dhungrinepal #dhungri #royalwomen #beroyal #ad #adring #unique #uniquejewelry #antique #antiquejewelry #love #shine #shippingworldwide #beyoutiful #fordashain #foryou #festivalvibes #dashainlooks","Dhungri Nepal","dhungri_nepal","https://www.instagram.com/p/CiVFoNwoGSV/","0","","19","2022-09-10T14:28:22.000Z",,"dhungrinepal","dhungri","royalwomen","beroyal","ad","adring","unique","uniquejewelry","antique","antiquejewelry","love","shine","shippingworldwide","beyoutiful","fordashain","foryou","festivalvibes","dashainlooks",,,,,,,,,
"Tihar Sale ✨ | Best Quality You Won’t Regret 🌸
COD & Home Delivery 🚚
Includes saree/belt/blousepiece— Grab Yours Now! 🛍️ 
#sareenepal #sareesale #sarisale #sarinepal","🇳🇵CatmandoNepal | Shop #Saree/#Lehenga/#Kurta","catmandofashionsnepal","https://www.instagram.com/p/DPlgwCsk8ZD/","0","","2","2025-10-09T11:04:29.000Z",,"sareenepal","sareesale","sarisale","sarinepal",,,,,,,,,,,,,,,,,,,,,,,
"Sari 🥻, pink colour, 1500 Rs. Nepal #sari #sarinepal #nepal #sariktm #sellsari","LajaluOutfits","lajaluoutfits","https://www.instagram.com/p/DS1M9JbgQ_P/","0","","5","2025-12-29T02:54:09.000Z",,"sari","sarinepal","nepal","sariktm","sellsari",,,,,,,,,,,,,,,,,,,,,,
"Dm for order♥️

#reels#sarinepal #nepal","Durga Maharjan","durga.maharjan.319","https://www.instagram.com/p/C1pO0bLRYnO/","1","","5","2024-01-03T16:09:16.000Z",,"reels","sarinepal","nepal",,,,,,,,,,,,,,,,,,,,,,,,
