"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20"
"Kurti aur favorite jeans ka combination is unmatched! 🥹❤️
Look at that gorgeous floral wreath embroidery—perfect for college, office, or casual outings 💫🫶

✨ Sizes available: S to XXL
Grab yours before it’s gone! 🛍️

#casualoutfits #ethnicwear #indowesternoutfit #collegeootd #maroonoutfits","Desi_Wardrobe💕","desi_wardrobe_by_kavita","https://www.instagram.com/p/DY2Qp3iCEdw/","0","","11","2026-05-27T15:52:40.000Z",,"casualoutfits","ethnicwear","indowesternoutfit","collegeootd","maroonoutfits",,,,,,,,,,,,,,,,
"✨ Pastel perfection ✨

Can we talk about how dreamy these sky blue and light pink short kurtis are? 🥹🌸 The delicate lace detailing around the neck and sleeves gives them such a premium, elegant look—but the best part? They are ALL from Amazon and entirely under 500! 💸

Perfect for your daily college lectures, casual office days, or just running errands while looking effortlessly put-together. 🧊🎀

Comment ""LINK"" and I’ll DM you the direct shopping links! 📲 👇

#amazonfinds #amazonkurti #shortkurtistyle❤️ #pastelaesthetic #budgetfashionindia #collegeootd #officewear #under500 #ethnicwear😍 #kurtidesign #rainyfashion #indianoutfitswag💯","Prachi Nayak","prachi_nayak1912","https://www.instagram.com/p/DY1-9lHDA5Z/","0","","1","2026-05-27T13:18:04.000Z",,"amazonfinds","amazonkurti","shortkurtistyle❤️","pastelaesthetic","budgetfashionindia","collegeootd","officewear","under500","ethnicwear😍","kurtidesign","rainyfashion","indianoutfitswag💯",,,,,,,,,
"jerseys on repeat!!!♾️♾️

#collegegameday #secgameday #collegeootd #trendygamedayapparel","Established & Co. ™","establishedandcompany","https://www.instagram.com/p/DY0noUnCkrC/","0","","-1","2026-05-27T00:39:05.000Z",,"collegegameday","secgameday","collegeootd","trendygamedayapparel",,,,,,,,,,,,,,,,,
"Main character energy in our AΞΔ baby tees. 💅

Making an entrance at UNLV Welcome Weeks! 🍎💙 Absolutely obsessed with our new Alpha Xi Delta disco ball tanks. There’s no better way to kick off the semester than with your bestie and some custom merch. ✨

🪩 Comment ""DISCO"" if you want this design for your sorority!

#AlphaXiDelta #AXiD #UNLV #WelcomeWeeks #SororityStyle #DiscoAesthetic #BabyTee #TheCollegiateLineup #CollegeOOTD #RecruitmentReady #Greeklife","The Collegiate Lineup Apparel","tclalphaxidelta","https://www.instagram.com/p/DYznrHTkxBn/","0","","2","2026-05-26T15:16:06.000Z",,"AlphaXiDelta","AXiD","UNLV","WelcomeWeeks","SororityStyle","DiscoAesthetic","BabyTee","TheCollegiateLineup","CollegeOOTD","RecruitmentReady","Greeklife",,,,,,,,,,
"Warning: You are going to want to live in this hoodie. 💙☁️

Whole heartedly obsessed. 🫶💙 Keeping it cozy and repping KKG in the cutest new lounge set.

✨ What chapter should we do a heart patch design for next? Let us know! 👇

#KappaKappaGamma #KKG #SororityStyle #GreekLife #CozyAesthetic #TheCollegiateLineup #CollegeOOTD #CampusStyle #LoungeSet","The Collegiate Lineup Apparel","tclalphaxidelta","https://www.instagram.com/p/DYzeCYUk-5M/","0","","3","2026-05-26T13:51:53.000Z",,"KappaKappaGamma","KKG","SororityStyle","GreekLife","CozyAesthetic","TheCollegiateLineup","CollegeOOTD","CampusStyle","LoungeSet",,,,,,,,,,,,
"The Alpha Phi Sundae Club has officially arrived. 🍒✨

Sun’s out, letters out. ☀️ Keeping things bright and retro in the new Alpha Phi Sundae Club drop. The perfect fit for campus cruising or iced coffee runs!

🍒 Tag the sister you'd share a sundae with below! 👇

#TheCollegiateLineup #SororityStyle #GreekLife #CampusStyle #CollegeOOTD #SororityMerch #AlphaPhi","The Collegiate Lineup Apparel","tclalphaxidelta","https://www.instagram.com/p/DYzdag_E1zc/","0","","5","2026-05-26T13:46:27.000Z",,"TheCollegiateLineup","SororityStyle","GreekLife","CampusStyle","CollegeOOTD","SororityMerch","AlphaPhi",,,,,,,,,,,,,,
"Chapter hype is officially activated. 📣💙 Gameday, Bid Day, or just hanging with the girlies—these custom sets are the ultimate vibe. 🚙✨

✨ Where is your chapter wearing these? Drop it in the comments! 👇

#TheCollegiateLineup #KansasJayhawks #RockChalk #KU #AXΩ #AlphaChiOmega #SororityMerch #GreekLife #GamedayStyle #CollegeOOTD #CampusStyle #SisterhoodGoals #MatchingSet #CustomApparel #BidDay","The Collegiate Lineup Apparel","tclalphaxidelta","https://www.instagram.com/p/DYzckQ-E6Nd/","0","","5","2026-05-26T13:39:02.000Z",,"TheCollegiateLineup","KansasJayhawks","RockChalk","KU","AXΩ","AlphaChiOmega","SororityMerch","GreekLife","GamedayStyle","CollegeOOTD","CampusStyle","SisterhoodGoals","MatchingSet","CustomApparel","BidDay",,,,,,
"Traditional craft meets modern aesthetic. 🖤✨

Obsessed with the intricate white embroidery on these super comfy rayon short kurtas. Perfect for college days, casual hangouts, or workwear that doesn't feel boring. 🌿💫

✨ Lightweight fabric
✨ Exquisite hand embroidery
✨ Pure comfort

Tap the link in bio or slide into our DMs to claim yours! 💌📲

#indieaesthetic #chikankarikurtis #fusion #BohoVibes #ethnicwearindia  #CollegeOOTD #kurti #IndianFashionTrends #ChicEveryday 
 #womenfashion #womenfashionstyle #womenfashions #HandEmbroidered #MyntraFashion #LucknowiChikan #SummerFashion #trending #trendingreels #instareels #instareelindia #instafashion","Vahsön Wears ®️","vahson_wears","https://www.instagram.com/p/DYzVP-4k7fw/","0","","1","2026-05-26T12:35:06.000Z",,"indieaesthetic","chikankarikurtis","fusion","BohoVibes","ethnicwearindia","CollegeOOTD","kurti","IndianFashionTrends","ChicEveryday","womenfashion","womenfashionstyle","womenfashions","HandEmbroidered","MyntraFashion","LucknowiChikan","SummerFashion","trending","trendingreels","instareels","instareelindia","instafashion"
"Tamang-tama sa init ngayon. Cotton yung shirt tapos hindi mainit yung denim

#CollegeOOTD #OfficeToDate #WeekendOutfit #MallGala #CoffeeRun #BrunchLook #TitaFinds #StudentBudgetOldMoneyStyle #KoreanInspired #CasualChic #StreetStyle #PinayFashion #WhatIWore #DailyOutfit #StyleInspo #BasicButClassy #SkortOutfit","Jhen Cole","jhencole15","https://www.instagram.com/p/DYtch2jCckN/","0","","0","2026-05-24T05:43:17.000Z",,"CollegeOOTD","OfficeToDate","WeekendOutfit","MallGala","CoffeeRun","BrunchLook","TitaFinds","StudentBudgetOldMoneyStyle","KoreanInspired","CasualChic","StreetStyle","PinayFashion","WhatIWore","DailyOutfit","StyleInspo","BasicButClassy","SkortOutfit",,,,
"Took a walk hallelujah☕️✨

#laceoutfit #collegeootd #collegelife #coffeeshopswaco #texasootd","Violet Kleefisch","violet.kleefisch","https://www.instagram.com/p/DYsV4qdlpU0/","82","","687","2026-05-23T19:25:58.000Z",,"laceoutfit","collegeootd","collegelife","coffeeshopswaco","texasootd",,,,,,,,,,,,,,,,
