"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19"
"👀🥱
#salinaathapa #post #treditionallook❤️ #northeastbeauty #nepalilook","Salinaa 🏔️","salinaa.thapa_","https://www.instagram.com/p/DY6Gt5oPEWG/","0","","0","2026-05-29T03:42:51.000Z",,"salinaathapa","post","treditionallook❤️","northeastbeauty","nepalilook",,,,,,,,,,,,,,,
"My Nepali Treditional look 👀
No Nazar 🧿 
.
.
.
.
.
#nepalilook #instagrampost #likeforlikes","Raavu ❤","raavya.thapa","https://www.instagram.com/p/DY2FSDTArKy/","6","","53","2026-05-27T14:13:24.000Z",,"nepalilook","instagrampost","likeforlikes",,,,,,,,,,,,,,,,,
"म कस्तो देखीरहेकी छु 🫣❤️?
.
.
.
#instapost #fyp #nepali #nepalilook #goviral","kanika","__kanikapujari.14","https://www.instagram.com/p/DY2CxUcEktF/","15","","-1","2026-05-27T13:51:21.000Z",,"instapost","fyp","nepali","nepalilook","goviral",,,,,,,,,,,,,,,
"Darjeeling nepali traditional drs❣️

#dajeeling#explore #pahadi#nepalilook#foryoupage","♡","_barnali_23","https://www.instagram.com/p/DY1ODRkgcmP/","13","","145","2026-05-27T06:10:41.000Z",,"dajeeling","explore","pahadi","nepalilook","foryoupage",,,,,,,,,,,,,,,
"Hehehehe

#newpost #nepalilook#explorepage✨ #viralpost #fyp","nandini✿","_nandinisinha__","https://www.instagram.com/p/DYy9G5ukdGS/","43","","1792","2026-05-26T09:04:09.000Z",,"newpost","nepalilook","explorepage✨","viralpost","fyp",,,,,,,,,,,,,,,
"Kanchi reh Kanchi…❤️🍂✨🇳🇵
.
.
.
#newpost #nepalilook #explorepage✨ #fyp #ridhiabannerjee","Ridhia Bannerjee🪬🪶","ridhiabannerjee____official","https://www.instagram.com/p/DYycIgnD9iD/","8","","41","2026-05-26T04:16:01.000Z",,"newpost","nepalilook","explorepage✨","fyp","ridhiabannerjee",,,,,,,,,,,,,,,
"#NepaliLook
#magargirl☘️🌼🌸🌈💫 
#traditionalnepalidress #nepalisong❤️ #nepalisbeautiful likesharecomment 😎🎀✨","Sakshi Magar Rana","sakshimgar","https://www.instagram.com/p/DYwefvWk6Eb/","14","","62","2026-05-25T09:58:11.000Z",,"NepaliLook","magargirl☘️🌼🌸🌈💫","traditionalnepalidress","nepalisong❤️","nepalisbeautiful",,,,,,,,,,,,,,,
"🩷🫶
Dressing and mekup @kanxiii_tamangni_7 
#nepalisong❤️ #nepalilook 
#like #comment#share","eSmiTi🍒","e_s_m_i_t_i2007","https://www.instagram.com/p/DYwQRP1E-XH/","8","","64","2026-05-25T07:53:52.000Z",,"nepalisong❤️","nepalilook","like","comment","share",,,,,,,,,,,,,,,
"In Nepali look🇳🇵.

#loveyourself #nepalilook #liveandletliveothers #photogenic","Janki Batala","batalajanki","https://www.instagram.com/p/DYnM8DcjcvQ/","1","","36","2026-05-21T19:31:35.000Z",,"loveyourself","nepalilook","liveandletliveothers","photogenic",,,,,,,,,,,,,,,,
"Nepali look 💄🪄
#bridalmakeup #nepalilook #photoshoot #paccosmeticsguwahati #makeover 
Model @dipti_biswasarma","Nafiza__✨","__miss_nafz__","https://www.instagram.com/p/DYmxeDWmgou/","4","","41","2026-05-21T15:31:34.000Z",,"bridalmakeup","nepalilook","photoshoot","paccosmeticsguwahati","makeover",,,,,,,,,,,,,,,
"*Caption:*
Red mood, simple vibes ❤️

*Hashtag:*
#RedLove #NepaliLook #justme","Nanu","nanu2003n","https://www.instagram.com/p/DYjSOy5APcL/","0","","3","2026-05-20T07:00:53.000Z",,"RedLove","NepaliLook","justme",,,,,,,,,,,,,,,,,
"12.05.2026✨
#instrapost #likeforlikes #viralpost #nepalilook","🦋 চয়নিকা__বৰুৱা 🦋","chayanika7155","https://www.instagram.com/p/DYe_B7Liewq/","26","","167","2026-05-18T14:56:08.000Z",,"instrapost","likeforlikes","viralpost","nepalilook",,,,,,,,,,,,,,,,
"“Wrapped in Nepali tradition and elegance ❤️”
#NepaliLook #TraditionalVibes #EthnicWear #NepaliGirl #CulturalBeauty","Aakritiaakriti92] 🍻","aakritiaakriti92","https://www.instagram.com/p/DYXFzxbieuN/","2","","35","2026-05-15T13:21:27.000Z",,"NepaliLook","TraditionalVibes","EthnicWear","NepaliGirl","CulturalBeauty",,,,,,,,,,,,,,,
"Khubsurati surat me hai nah libaaz me Nigahein jise chahe use haseen karde 🌙🍃

#nepali #nepalisong #nepalilook #1","Kajal Yadav","itz_cashew","https://www.instagram.com/p/DYTfpW3IFLE/","4","","-1","2026-05-14T14:46:27.000Z",,"nepali","nepalisong","nepalilook","1",,,,,,,,,,,,,,,,
"Jhyappai ayi magarni🫣😍
……
#magarniiiii❤️‍🩹☘️💐 
#nepalilook 
#chisapani_karnali 
#culturallook","Neha Tamrakar","neha_tamrakar_07_","https://www.instagram.com/p/DYPebrxk9tL/","13","","197","2026-05-12T14:22:41.000Z",,"magarniiiii❤️‍🩹☘️💐","nepalilook","chisapani_karnali","culturallook",,,,,,,,,,,,,,,,
"#nepalilook
#♥️♥️ ✨","binduuuu🦋","bindu_parajuli1","https://www.instagram.com/p/DYMdiNBj0k0/","124","","1072","2026-05-11T10:17:07.000Z",,"nepalilook","♥️♥️",,,,,,,,,,,,,,,,,,
"Authentic Nepali vibes 🍄
.
.
.
.
.
.
#nepalilook #traditionalvibes✨ #viral #explorepage #likeforme","উশ্মিতা দেৱী ভূমিজ 🦋","jeevika_devi_","https://www.instagram.com/p/DYL2GdxkyGQ/","18","","130","2026-05-11T04:32:32.000Z",,"nepalilook","traditionalvibes✨","viral","explorepage","likeforme",,,,,,,,,,,,,,,
"🤭.....
#batasiyaloop #darjeeling #photoeveryday 
#nepalilook #songs","प्रतीक्षा! ✨","pratiksha__2006__","https://www.instagram.com/p/DYJoJ19kwj6/","18","","58","2026-05-10T07:52:11.000Z",,"batasiyaloop","darjeeling","photoeveryday","nepalilook","songs",,,,,,,,,,,,,,,
"✨ Inspiring Conversations, Empowering Futures ✨

Global College International successfully hosted the Miss Nepal 2026 College Activation Program, providing students with an enriching opportunity to engage with inspiring leaders and role models.

We were honored to welcome Dr. Sumana KC, Miss Nepal Earth 2024, and Dr. Sareesha Shrestha, Miss Nepal Earth 2022, who shared their journeys, experiences, and insights on leadership, confidence, personal growth, and social impact.

The interactive session encouraged students to embrace their potential, develop self-confidence, and contribute positively to society.

A heartfelt thank you to The Hidden Treasure, our distinguished guests, and all participating students for making the event a memorable success.

#GlobalCollegeInternational #GCI #CPD #MissNepal2026 #CollegeActivationProgram #Leadership #Confidence #StudentEngagement #LearningBeyondClassroom #MissNepal #FutureLeaders","Global College International","gciedunp","https://www.instagram.com/p/DZFD2sUgY15/","0","","3","2026-06-02T09:49:26.000Z",,"GlobalCollegeInternational","GCI","CPD","MissNepal2026","CollegeActivationProgram","Leadership","Confidence","StudentEngagement","LearningBeyondClassroom","MissNepal","FutureLeaders",,,,,,,,,
"👑 Your Miss Nepal 2026 journey starts now!

From Pokhara, Butwal, Birtamod, Itahari, Nepalgunj, and Janakpur to the grand stage in Kathmandu, the search for Nepal’s next queen is officially on. Applications close on June 8, and this year’s theme is “Top of the World.” ✨

If you have the confidence, purpose, and passion to represent Nepal on the global stage, this is your sign to apply. 💫

#thebuzznepal #expecttheunexpected #missnepal #news #MissNepal2026","The Buzz Nepal","thebuzznepal","https://www.instagram.com/p/DY_iAtgIQ6G/","1","","40","2026-05-31T06:17:34.000Z",,"thebuzznepal","expecttheunexpected","missnepal","news","MissNepal2026",,,,,,,,,,,,,,,
"Thank you for inviting me ❤️🫶
Mr and miss Face of See Nepal 🇳🇵🇳🇵
#fashion #nepal #nepalmodel #faceof2026 #missnepal","SusilDahal_oficial | Fashion model👒","susil_model_actor","https://www.instagram.com/p/DY-Bn5miMvn/","2","","39","2026-05-30T16:20:28.000Z",,"fashion","nepal","nepalmodel","faceof2026","missnepal",,,,,,,,,,,,,,,
"Glimpses of the College Activation Program of Miss Nepal 2026 at Namuna College of Fashion Technology, Bansbari, Kathmandu. In this interactive program, students demonstrated acts related to confidence. Brij Cement is associated with Miss Nepal 2026 as a Subtitle Sponsor for the title ""Brij Miss Confident"".
#BrijCement #ExpertsChoice #MissNepal #MissNepalCollegeActivationProgram","Brij Cement PPC/OPC/PSC","brijcement","https://www.instagram.com/p/DY6XM9XkmWU/","0","","1","2026-05-29T06:06:51.000Z",,"BrijCement","ExpertsChoice","MissNepal","MissNepalCollegeActivationProgram",,,,,,,,,,,,,,,,
"MRS @barshakunwar every purchase is more than a transaction it’s a connection . We’re grateful for you 😊❤️ #Anitajewels #Missnepal #diamond #Necklace","Anita Jewels","anitaajewels","https://www.instagram.com/p/DY4lWjwGmq6/","4","","33","2026-05-28T13:32:01.000Z",,"Anitajewels","Missnepal","diamond","Necklace",,,,,,,,,,,,,,,,
"Glimpses of the College Activation Program of Miss Nepal 2026 at Unique College, Lalitpur, Nepal. In this interactive program, students demonstrated acts related to confidence. Brij Cement is associated with Miss Nepal 2026 as a Subtitle Sponsor for the title ""Brij Miss Confident"".
#BrijCement #ExpertsChoice #MissNepal #MissNepalCollegeActivationProgram","Brij Cement PPC/OPC/PSC","brijcement","https://www.instagram.com/p/DY1a1paEj3k/","0","","1","2026-05-27T08:02:25.000Z",,"BrijCement","ExpertsChoice","MissNepal","MissNepalCollegeActivationProgram",,,,,,,,,,,,,,,,
"What an incredible experience at the 𝐌𝐢𝐬𝐬 𝐍𝐞𝐩𝐚𝐥 𝟐𝟎𝟐𝟔  𝐂𝐨𝐥𝐥𝐞𝐠𝐞 𝐀𝐜𝐭𝐢𝐯𝐚𝐭𝐢𝐨𝐧!
 
A huge thank you to the 𝐌𝐢𝐬𝐬 𝐍𝐞𝐩𝐚𝐥 𝐭𝐞𝐚𝐦 for making this event so memorable. Our students truly enjoyed every moment from the energy, interaction, inspiration, and excitement to meeting such amazing personalities. 
 
Thank you to all the students who participated and made the event a grand success! 
 
#MissNepal2026 #CollegeActivation #StudentExperience  #MissNepal","Texas College Official","texascollegeofficial","https://www.instagram.com/p/DYzGcTMDFzH/","0","","58","2026-05-26T10:25:02.000Z",,"MissNepal2026","CollegeActivation","StudentExperience","MissNepal",,,,,,,,,,,,,,,,
"Want to enjoy an exclusive dinner experience with Miss Nepal 2026 divas?

Kajaria Ramesh Tiles has launched a special campaign giving customers a chance to win a memorable evening with the Miss Nepal 2026 finalists. 

For more: https://ictframe.com/win-dinner-miss-nepal-2026/

#MissNepal2026 #KajariaRameshTiles #DineWithTheDivas #Kajaria #MissNepal #NepalEvents #LifestyleCampaign #ICTFrame","ICT FRAME","ictframe","https://www.instagram.com/p/DYybrh0GBex/","0","","0","2026-05-26T04:12:03.000Z",,"MissNepal2026","KajariaRameshTiles","DineWithTheDivas","Kajaria","MissNepal","NepalEvents","LifestyleCampaign","ICTFrame",,,,,,,,,,,,
"Honored to have former Miss Nepal, Sadikshya Shrestha, visit our stall and choose products from Suyog Marketing & Food ✨💛

Thank you for supporting local products from Sudurpashchim and for taking the time to visit us. Your love and encouragement truly mean a lot to us. 🙏

We’re grateful for your support and hope you enjoyed our authentic local flavors! 🌾✨

#SuyogMarketingAndFood #SupportLocal #SudurpashchimProducts #MissNepal #LocalFlavors KathmanduEvents","𝓢𝓾𝔂𝓸𝓰 𝓶𝓪𝓻𝓴𝓮𝓽𝓲𝓷𝓰 𝓯𝓸𝓸𝓭🍀","suyogmarketingfood","https://www.instagram.com/p/DYwXNXcBR3L/","0","","2","2026-05-25T08:55:56.000Z",,"SuyogMarketingAndFood","SupportLocal","SudurpashchimProducts","MissNepal","LocalFlavors",,,,,,,,,,,,,,,
"#MissNepal 🇳🇵","𝗠𝗜𝗦𝗦𝗨𝗣𝗔𝗚𝗘𝗔𝗡𝗧𝗥𝗬 💫","missupageantry","https://www.instagram.com/p/DYwJxOWue13/","0","",,"2026-05-25T07:12:44.000Z",,"MissNepal",,,,,,,,,,,,,,,,,,,
"YOU CAN BE THE NEXT MISS UNIVERSE NEPAL ✨ 
-REGISTRATIONS ARE OFFICIALLY OPENED-

You can now register via KHALTI app or DM us at our official Instagram handle @missuniversenepalglobalglamour 
@missuniverseskincarenp 

🚨 Don't miss this life changing opportunity 🚨
IT'S MISS UNIVERSE BABY 🪽

#MissUniverseNepal #missnepal #nepaltouniverse #foryoupage #instagram","M I S S U N I V E R S E S K I N C A R E 🇳🇵","missuniverseskincarenp","https://www.instagram.com/p/DYphPhAgT23/","0","","-1","2026-05-22T17:07:30.000Z",,"MissUniverseNepal","missnepal","nepaltouniverse","foryoupage","instagram",,,,,,,,,,,,,,,
"✨🇳🇵MISS UNIVERSE NEPAL SEASON IS HERE 🚨

APPLICATIONS ARE OFFICIALLY OPENED - YOU CAN APPLY VIA KHALTI APP OR DM US AT @missuniversenepalglobalglamour 

THE MOMENT COULD BE YOURS, NEW ERA OF BEAUTY AND PURPOSE, IT'S MISS UNIVERSE NEPAL 2026 ✨☝🏻

#missuniverse #nepali #nepalibeauty #foryou #missnepal","M I S S U N I V E R S E S K I N C A R E 🇳🇵","missuniverseskincarenp","https://www.instagram.com/p/DYpEcGKAb7r/","3","","-1","2026-05-22T12:55:48.000Z",,"missuniverse","nepali","nepalibeauty","foryou","missnepal",,,,,,,,,,,,,,,
"✨ Celebrating a new milestone in our continued partnership with our 𝐁𝐫𝐚𝐧𝐝 𝐀𝐦𝐛𝐚𝐬𝐬𝐚𝐝𝐨𝐫 — 𝐒𝐚𝐧𝐝𝐞𝐞𝐩 𝐋𝐚𝐦𝐢𝐜𝐡𝐡𝐚𝐧𝐞 🏏
​
And we're making it even more special with our 𝐌𝐚𝐬𝐭𝐞𝐫 𝐨𝐟 𝐂𝐞𝐫𝐞𝐦𝐨𝐧𝐲— 𝐍𝐚𝐦𝐫𝐚𝐭𝐚 𝐒𝐡𝐫𝐞𝐬𝐭𝐡𝐚, 𝐌𝐢𝐬𝐬 𝐍𝐞𝐩𝐚𝐥 𝟐𝟎𝟐𝟎/𝟐𝟎𝟐𝟏👑
​
A continued bond. A renewed trust. 🇳🇵
​
#BridgeInternational #SandeepLamichhane #NamrataShrestha #ContractRenewal #SigningCeremony #MissNepal #BrandAmbassador","Bridge International Educational Consultancy - BICM","bridgeinternational","https://www.instagram.com/p/DYo_xzuknFi/","2","","23","2026-05-22T12:15:05.000Z",,"BridgeInternational","SandeepLamichhane","NamrataShrestha","ContractRenewal","SigningCeremony","MissNepal","BrandAmbassador",,,,,,,,,,,,,
"✨ Celebrating a new milestone in our continued partnership with our 𝐁𝐫𝐚𝐧𝐝 𝐀𝐦𝐛𝐚𝐬𝐬𝐚𝐝𝐨𝐫 — 𝐒𝐚𝐧𝐝𝐞𝐞𝐩 𝐋𝐚𝐦𝐢𝐜𝐡𝐡𝐚𝐧𝐞 🏏
​
And we're making it even more special with our 𝐌𝐚𝐬𝐭𝐞𝐫 𝐨𝐟 𝐂𝐞𝐫𝐞𝐦𝐨𝐧𝐲— 𝐍𝐚𝐦𝐫𝐚𝐭𝐚 𝐒𝐡𝐫𝐞𝐬𝐭𝐡𝐚, 𝐌𝐢𝐬𝐬 𝐍𝐞𝐩𝐚𝐥 𝟐𝟎𝟐𝟎/𝟐𝟎𝟐𝟏👑
​
A continued bond. A renewed trust. 🇳🇵
​
#BridgeInternational #SandeepLamichhane #NamrataShrestha #ContractRenewal #SigningCeremony #MissNepal #BrandAmbassador","Bridge International Education Consultancy Damak","bridgeinternational_damak","https://www.instagram.com/p/DYo-I5jjwIz/","0","","4","2026-05-22T12:00:46.000Z",,"BridgeInternational","SandeepLamichhane","NamrataShrestha","ContractRenewal","SigningCeremony","MissNepal","BrandAmbassador",,,,,,,,,,,,,
"✨ Celebrating a new milestone in our continued partnership with our 𝐁𝐫𝐚𝐧𝐝 𝐀𝐦𝐛𝐚𝐬𝐬𝐚𝐝𝐨𝐫 — 𝐒𝐚𝐧𝐝𝐞𝐞𝐩 𝐋𝐚𝐦𝐢𝐜𝐡𝐡𝐚𝐧𝐞 🏏
​
And we're making it even more special with our 𝐌𝐚𝐬𝐭𝐞𝐫 𝐨𝐟 𝐂𝐞𝐫𝐞𝐦𝐨𝐧𝐲— 𝐍𝐚𝐦𝐫𝐚𝐭𝐚 𝐒𝐡𝐫𝐞𝐬𝐭𝐡𝐚, 𝐌𝐢𝐬𝐬 𝐍𝐞𝐩𝐚𝐥 𝟐𝟎𝟐𝟎/𝟐𝟎𝟐𝟏👑
​
A continued bond. A renewed trust. 🇳🇵
​
#BridgeInternational #SandeepLamichhane #NamrataShrestha #ContractRenewal #SigningCeremony #MissNepal #BrandAmbassador","Bridge International Chitwan","bridge.chitwan","https://www.instagram.com/p/DYo3N-HAZPZ/","0","","3","2026-05-22T11:00:17.000Z",,"BridgeInternational","SandeepLamichhane","NamrataShrestha","ContractRenewal","SigningCeremony","MissNepal","BrandAmbassador",,,,,,,,,,,,,
"✨ Celebrating a new milestone in our continued partnership with our 𝐁𝐫𝐚𝐧𝐝 𝐀𝐦𝐛𝐚𝐬𝐬𝐚𝐝𝐨𝐫 — 𝐒𝐚𝐧𝐝𝐞𝐞𝐩 𝐋𝐚𝐦𝐢𝐜𝐡𝐡𝐚𝐧𝐞 🏏
​
And we're making it even more special with our 𝐌𝐚𝐬𝐭𝐞𝐫 𝐨𝐟 𝐂𝐞𝐫𝐞𝐦𝐨𝐧𝐲— 𝐍𝐚𝐦𝐫𝐚𝐭𝐚 𝐒𝐡𝐫𝐞𝐬𝐭𝐡𝐚, 𝐌𝐢𝐬𝐬 𝐍𝐞𝐩𝐚𝐥 𝟐𝟎𝟐𝟎/𝟐𝟎𝟐𝟏👑
​
A continued bond. A renewed trust. 🇳🇵
​
#BridgeInternational #SandeepLamichhane #NamrataShrestha #ContractRenewal #SigningCeremony #MissNepal #BrandAmbassador","Bridge International","bridgeinternationalmaharajgunj","https://www.instagram.com/p/DYo3NgZjdsB/","0","","0","2026-05-22T11:00:13.000Z",,"BridgeInternational","SandeepLamichhane","NamrataShrestha","ContractRenewal","SigningCeremony","MissNepal","BrandAmbassador",,,,,,,,,,,,,
"✨ Celebrating a new milestone in our continued partnership with our 𝐁𝐫𝐚𝐧𝐝 𝐀𝐦𝐛𝐚𝐬𝐬𝐚𝐝𝐨𝐫 — 𝐒𝐚𝐧𝐝𝐞𝐞𝐩 𝐋𝐚𝐦𝐢𝐜𝐡𝐡𝐚𝐧𝐞 🏏
​
And we're making it even more special with our 𝐌𝐚𝐬𝐭𝐞𝐫 𝐨𝐟 𝐂𝐞𝐫𝐞𝐦𝐨𝐧𝐲— 𝐍𝐚𝐦𝐫𝐚𝐭𝐚 𝐒𝐡𝐫𝐞𝐬𝐭𝐡𝐚, 𝐌𝐢𝐬𝐬 𝐍𝐞𝐩𝐚𝐥 𝟐𝟎𝟐𝟎/𝟐𝟎𝟐𝟏👑
​
A continued bond. A renewed trust. 🇳🇵
​
#BridgeInternational #SandeepLamichhane #NamrataShrestha #ContractRenewal #SigningCeremony #MissNepal #BrandAmbassador","Bridge International Butwal","bridgeinternationalbutwal","https://www.instagram.com/p/DYox7sNjB7W/","0","","2","2026-05-22T10:14:06.000Z",,"BridgeInternational","SandeepLamichhane","NamrataShrestha","ContractRenewal","SigningCeremony","MissNepal","BrandAmbassador",,,,,,,,,,,,,
"✨ Celebrating a new milestone in our continued partnership with our 𝐁𝐫𝐚𝐧𝐝 𝐀𝐦𝐛𝐚𝐬𝐬𝐚𝐝𝐨𝐫 — 𝐒𝐚𝐧𝐝𝐞𝐞𝐩 𝐋𝐚𝐦𝐢𝐜𝐡𝐡𝐚𝐧𝐞 🏏
​
And we're making it even more special with our 𝐌𝐚𝐬𝐭𝐞𝐫 𝐨𝐟 𝐂𝐞𝐫𝐞𝐦𝐨𝐧𝐲— 𝐍𝐚𝐦𝐫𝐚𝐭𝐚 𝐒𝐡𝐫𝐞𝐬𝐭𝐡𝐚, 𝐌𝐢𝐬𝐬 𝐍𝐞𝐩𝐚𝐥 𝟐𝟎𝟐𝟎/𝟐𝟎𝟐𝟏👑
​
A continued bond. A renewed trust. 🇳🇵
​
#BridgeInternational #SandeepLamichhane #NamrataShrestha #ContractRenewal #SigningCeremony #MissNepal #BrandAmbassador","Bridge international.Dharan","bridgeinternational.dharan","https://www.instagram.com/p/DYoxtNzD146/","0","","5","2026-05-22T10:12:08.000Z",,"BridgeInternational","SandeepLamichhane","NamrataShrestha","ContractRenewal","SigningCeremony","MissNepal","BrandAmbassador",,,,,,,,,,,,,
"✨ Celebrating a new milestone in our continued partnership with our 𝐁𝐫𝐚𝐧𝐝 𝐀𝐦𝐛𝐚𝐬𝐬𝐚𝐝𝐨𝐫 — 𝐒𝐚𝐧𝐝𝐞𝐞𝐩 𝐋𝐚𝐦𝐢𝐜𝐡𝐡𝐚𝐧𝐞 🏏
​
And we're making it even more special with our 𝐌𝐚𝐬𝐭𝐞𝐫 𝐨𝐟 𝐂𝐞𝐫𝐞𝐦𝐨𝐧𝐲— 𝐍𝐚𝐦𝐫𝐚𝐭𝐚 𝐒𝐡𝐫𝐞𝐬𝐭𝐡𝐚, 𝐌𝐢𝐬𝐬 𝐍𝐞𝐩𝐚𝐥 𝟐𝟎𝟐𝟎/𝟐𝟎𝟐𝟏👑
​
A continued bond. A renewed trust. 🇳🇵
​
#BridgeInternational #SandeepLamichhane #NamrataShrestha #ContractRenewal #SigningCeremony #MissNepal #BrandAmbassador","Bridge International Pokhara","bridgeinternationalpokhara","https://www.instagram.com/p/DYoxXVvCloZ/","0","","5","2026-05-22T10:09:10.000Z",,"BridgeInternational","SandeepLamichhane","NamrataShrestha","ContractRenewal","SigningCeremony","MissNepal","BrandAmbassador",,,,,,,,,,,,,
